episode,falls,speed,average deviation
509,0,0.003846154,0.351493169
510,0,0.003478261,0.199494627
511,0,0.004113712,0.120365982
512,0,0.003879599,0.168273793
513,0,0.003578595,0.104399047
514,0,0.004381271,0.221023212
515,1,0.004683544,0.224646798
516,0,0.003879599,0.073375365
517,0,0.003511706,0.162209692
518,0,0.003779264,0.153437597
519,0,0.003745819,0.1465385
520,0,0.004715719,0.249600816
521,0,0.003511706,0.308815608
522,0,0.004080268,0.176915598
523,0,0.004147157,0.235669398
524,0,0.004414716,0.247561227
525,0,0.003946488,0.163235739
526,0,0.004046823,0.376505492
527,0,0.004080268,0.344665961
528,0,0.003779264,0.851225752
529,0,0.004080268,0.160370035
530,0,0.004381271,0.162611092
531,0,0.004046823,0.373361281
532,0,0.003846154,0.266253255
533,0,0.004080268,0.17131125
534,0,0.004481605,0.111541637
535,0,0.004080268,0.153466034
536,1,0.004853801,0.212376073
537,0,0.00451505,0.127278186
538,0,0.002943144,0.319460697
539,0,0.004147157,0.240154973
540,0,0.003344482,0.320225263
541,0,0.003879599,0.224721583
542,0,0.003879599,0.130515288
543,0,0.004214047,0.293010063
544,0,0.003344482,0.379872045
545,0,0.00361204,0.228275446
546,0,0.003946488,0.138078285
547,0,0.003846154,0.1997448
548,0,0.003645485,0.233227976
549,0,0.003344482,0.147701535
550,0,0.003377926,0.268167289
551,0,0.004147157,0.153487954
552,0,0.004615385,0.218411758
553,0,0.004314381,0.091795359
554,1,0.00677686,0.2121566
555,0,0.003946488,0.189671953
556,0,0.003879599,0.091698512
557,0,0.00367893,0.231837177
558,0,0.00367893,0.429836477
559,0,0.003779264,0.189352847
560,0,0.003645485,0.334625075
561,0,0.003779264,0.216085994
562,0,0.003946488,0.342672655
563,0,0.004414716,0.130184721
564,0,0.003879599,0.224153421
565,0,0.00361204,0.224377202
566,0,0.004180602,0.112134968
567,0,0.004314381,0.085690743
568,0,0.003545151,0.152650472
569,0,0.00458194,0.149632323
570,0,0.003478261,0.279798574
571,0,0.003645485,0.430416122
572,0,0.003979933,0.384788522
573,0,0.004381271,0.243262066
574,1,0.004126984,0.167073074
575,0,0.003444816,0.187338679
576,0,0.004314381,0.369996699
577,0,0.00458194,0.183734692
578,0,0.00361204,0.512391507
579,1,0.007816092,0.102014655
580,0,0.003879599,0.256276964
581,0,0.003913043,0.157347714
582,0,0.004080268,0.145665013
583,0,0.004882943,0.128478486
584,0,0.004314381,0.12195414
585,0,0.003846154,0.332186378
586,0,0.003712375,0.35096016
587,0,0.00451505,0.115370103
588,0,0.00367893,0.131492101
589,0,0.004147157,0.501873656
590,1,0.006883117,0.124818229
591,0,0.003979933,0.054852676
592,0,0.003745819,0.13989962
593,0,0.00451505,0.20542822
594,0,0.004247492,0.126322949
595,0,0.003511706,0.282166475
596,0,0.003545151,0.247563317
597,0,0.004247492,0.150047364
598,0,0.004882943,0.083880221
599,0,0.004113712,0.276197066
600,0,0.003712375,0.14332425
601,0,0.003444816,0.160129209
602,0,0.003879599,0.094755804
603,0,0.004147157,0.335189887
604,0,0.003913043,0.081143615
605,1,0.004570447,0.168664903
606,0,0.003846154,0.282175835
607,0,0.003545151,0.322295893
608,1,0.005804196,0.263798381
609,0,0.003979933,0.10109275
610,0,0.003645485,0.379612356
611,0,0.00451505,0.379240869
612,0,0.00361204,0.362851548
613,0,0.003979933,0.159712193
614,0,0.004314381,0.101232851
615,0,0.004180602,0.13541809
616,0,0.004113712,0.363558547
617,0,0.004414716,0.298127476
618,0,0.003578595,0.259641672
619,0,0.00451505,0.163790625
620,1,0.005544041,0.166658711
621,0,0.004013378,0.150863238
622,0,0.004214047,0.32480103
623,0,0.004381271,0.130585047
624,0,0.003645485,0.401771948
625,0,0.004347826,0.223387441
626,0,0.004180602,0.12498858
627,0,0.003545151,0.120929758
628,0,0.004013378,0.240612207
629,0,0.003712375,0.18081369
630,0,0.003812709,0.179880029
631,0,0.004280936,0.168834182
632,0,0.004180602,0.228352825
633,0,0.004113712,0.261432874
634,0,0.004180602,0.09595396
635,0,0.00451505,0.092660876
636,0,0.004013378,0.153935897
637,0,0.004280936,0.138828005
638,0,0.004381271,0.328777518
639,0,0.003745819,0.349129674
